T,strike,rf,dividend,v0,kappa,sigma,rho,theta,price,original_iv
341,105.699,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,20.1039,0.57953,
224,165.137,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,2.93322,0.526654,
76,128.63,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,1.7239,0.49329,
241,78.0586,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,30.4132,0.605058,
249,67.9181,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,37.3612,0.617276,
167,32.1674,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,67.45,0.721735,
23,80.9127,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,19.8832,0.669833,
129,84.5027,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,22.4273,0.604235,
169,129.376,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,6.09038,0.542306,
193,157.701,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,2.7423,0.522844,
37,61.4647,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,38.7047,0.761494,
97,101.432,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,11.1468,0.567946,
80,144.884,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.478435,0.462764,
267,154.35,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,5.48397,0.542735,
191,46.8257,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,53.6983,0.666984,
108,56.6224,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,44.0867,0.682725,
22,66.649,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,33.4615,0.773249,
334,34.8881,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,64.8977,0.65513,
228,118.386,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,11.5617,0.563285,
272,88.9156,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,25.2061,0.592211,
350,62.1676,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,43.2287,0.615291,
341,89.483,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,27.0273,0.591127,
293,30.6938,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,68.716,0.672968,
219,73.054,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,33.0819,0.613416,
175,51.6265,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,49.2736,0.661698,
346,89.3777,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,27.221,0.591177,
69,75.5158,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,26.5946,0.647026,
167,53.2663,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,47.7428,0.660883,
277,119.864,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,13.0829,0.56659,
196,40.3636,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,59.6574,0.680974,
69,146.206,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.217764,0.442073,
48,102.344,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,6.9608,0.547728,
157,36.0317,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,63.729,0.714945,
125,105.646,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,11.0006,0.564786,
37,123.952,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.416651,0.436008,
177,96.0531,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,18.0053,0.583888,
147,45.0306,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,55.1409,0.692527,
30,96.7561,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,8.15387,0.564214,
185,137.591,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,5.16316,0.538118,
238,77.1248,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,30.9153,0.606404,
